School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,School_type,Color
90,96,94,91,90,2,1
92,98,95,29,78,1,2
98,93,91,64,77,1,2
93,88,95,49,73,1,2
99,98,92,44,45,1,2
94,97,93,88,51,1,2
85,90,96,55,99,1,2
95,95,95,64,67,1,2
98,99,86,91,66,1,2
94,92,90,46,83,2,2
98,94,91,93,60,1,2
96,94,93,58,65,2,2
98,97,92,88,50,1,2
99,99,95,66,36,2,2
98,91,90,90,97,2,1
95,94,98,71,51,2,2
98,93,97,53,76,1,2
94,96,92,76,82,2,2
92,88,91,61,81,1,2
96,99,98,97,78,1,1
88,96,90,76,48,2,2
98,90,90,28,98,2,2
93,96,85,96,92,2,1
98,95,95,47,42,2,2
98,99,90,80,84,2,1
93,97,97,44,87,1,2
90,93,99,59,80,1,2
94,96,92,53,73,2,2
98,97,97,54,84,1,2
97,99,95,62,52,2,2
97,93,97,62,96,1,2
91,96,91,65,91,1,2
96,95,96,91,53,1,2
98,97,99,79,97,1,1
90,94,90,61,78,2,2
91,86,91,70,100,1,2
92,90,98,67,88,1,2
93,96,94,49,88,2,2
92,93,99,98,50,1,2
91,99,90,34,42,1,3
94,92,95,43,93,2,2
91,91,99,95,44,1,2
93,90,96,69,83,2,2
89,91,88,74,50,1,2
96,93,92,97,96,1,1
97,91,96,96,94,2,1
90,93,91,93,40,2,2
94,90,93,74,80,2,2
96,90,97,35,52,1,3
95,86,93,86,55,2,2
97,95,96,69,62,1,2
96,92,90,59,61,2,2
95,97,94,50,58,1,2
90,95,89,45,59,1,2
95,95,95,60,96,1,2
97,94,96,92,87,2,1
98,97,98,74,99,1,1
98,99,91,48,98,2,2
96,95,97,82,66,2,2
93,97,94,53,63,1,2
91,90,92,64,40,2,2
93,99,98,66,48,1,2
98,94,96,47,93,2,2
92,94,91,59,98,1,2
96,92,97,50,54,2,2
91,91,90,85,71,1,2
96,93,90,57,90,1,2
91,96,96,93,97,2,1
96,86,90,55,77,1,2
100,92,99,47,69,2,2
95,97,94,92,54,2,2
98,95,89,52,32,2,3
90,94,94,62,86,2,2
94,90,94,61,55,1,2
92,93,91,89,73,2,2
90,93,91,32,41,2,3
99,90,91,59,61,1,2
96,99,99,93,30,2,2
93,91,91,68,58,1,2
94,93,96,80,60,1,2
92,90,92,44,85,1,2
93,95,92,70,77,2,2
93,85,94,48,89,2,2
91,99,99,56,91,1,2
96,93,95,40,57,1,2
99,99,90,42,44,1,3
92,96,97,88,27,1,2
94,90,93,97,63,2,2
88,93,93,55,62,2,2
90,95,87,33,69,2,3
99,93,90,43,99,2,2
94,97,90,49,84,2,2
95,90,99,100,99,2,1
95,99,92,52,93,2,2
99,90,95,95,63,1,2
97,92,96,47,95,1,2
92,98,94,57,24,1,3
95,98,93,53,72,2,2
95,91,92,86,81,1,2
96,86,90,84,72,2,2
92,94,92,68,52,1,2
99,92,91,46,54,1,2
95,96,91,33,95,2,2
93,90,93,44,85,1,2
92,93,89,72,25,1,3
96,98,95,55,54,2,2
93,96,90,44,54,2,2
96,91,96,67,66,1,2
92,91,90,43,78,2,2
94,91,94,48,70,1,2
98,94,96,65,87,1,2
98,93,95,39,91,2,2
99,96,94,46,78,2,2
93,90,99,60,58,2,2
90,87,92,25,24,2,3
92,96,96,58,50,2,2
86,94,96,70,79,2,2
94,94,98,66,89,2,2
92,90,91,90,50,1,2
94,95,86,92,100,2,1
95,90,95,87,52,1,2
90,95,99,78,81,1,2
99,91,91,97,93,2,1
96,93,96,42,48,1,2
93,89,97,65,60,1,2
95,97,90,42,88,1,2
98,98,90,54,96,2,2
97,91,90,49,74,2,2
91,92,99,79,48,2,2
94,97,97,33,46,1,3
90,90,85,55,94,2,2
91,98,91,89,54,1,2
99,98,98,72,71,2,2
97,88,98,51,62,2,2
97,96,94,62,50,2,2
94,91,95,65,65,2,2
98,96,90,77,97,1,1
95,91,89,74,49,2,2
90,93,92,66,70,1,2
89,96,92,94,96,2,1
92,91,94,74,74,1,2
90,95,92,34,77,1,2
93,90,97,90,62,2,2
93,86,97,65,37,1,2
96,97,92,90,43,2,2
99,94,93,100,54,2,2
95,99,91,61,95,2,2
93,94,95,51,42,2,2
95,99,90,73,46,1,2
93,94,85,64,54,2,2
88,91,95,68,74,2,2
94,99,93,64,56,2,2
96,95,91,87,98,1,1
94,97,96,41,95,2,2
98,92,91,68,47,1,2
90,97,91,94,81,1,1
94,92,94,97,97,1,1
86,94,95,75,68,2,2
92,91,90,97,30,1,2
91,85,98,96,35,2,2
96,94,92,64,88,2,2
96,91,93,95,77,2,1
92,97,95,67,54,1,2
96,97,95,61,74,1,2
95,90,86,54,78,2,2
90,91,92,86,40,1,2
90,98,93,64,54,1,2
90,97,96,58,72,1,2
91,93,96,80,57,2,2
91,90,99,74,99,2,1
99,97,97,88,83,1,1
99,96,95,47,85,1,2
97,91,90,90,53,1,2
92,91,93,50,95,1,2
85,89,99,73,52,2,2
97,97,93,95,54,1,2
93,98,97,43,63,2,2
90,90,86,90,57,2,2
90,97,97,50,86,1,2
96,93,98,80,90,2,1
94,99,90,82,41,1,2
97,90,92,67,43,1,2
94,92,99,54,74,1,2
93,97,97,26,95,1,2
98,95,94,50,78,2,2
94,95,91,82,80,1,2
91,99,97,48,95,1,2
97,94,92,64,54,1,2
98,98,98,94,51,1,2
94,87,96,92,85,1,1
93,93,99,68,99,1,1
98,92,99,55,63,2,2
98,95,90,63,64,1,2
92,98,88,98,65,1,2
99,97,90,58,49,1,2
93,99,96,50,40,2,2
92,93,93,41,45,1,3
96,93,96,84,68,1,2
88,90,90,71,52,1,2
95,98,93,89,53,1,2
94,91,94,54,56,1,2
98,96,95,43,71,2,2
97,100,93,88,90,1,1
90,98,96,77,97,1,1
94,90,99,70,59,2,2
96,98,90,51,78,1,2
99,95,90,49,60,1,2
97,99,94,50,66,2,2
90,94,99,70,82,1,2
91,93,95,95,59,1,2
97,98,98,84,77,1,1
96,96,97,60,59,2,2
92,92,93,92,45,2,2
95,94,95,67,41,1,2
95,97,96,66,93,2,2
98,99,96,50,84,2,2
97,98,92,59,56,2,2
94,98,96,98,87,1,1
91,97,99,98,98,1,1
95,95,98,46,52,1,2
94,97,95,53,92,2,2
89,98,100,81,63,1,2
96,91,91,83,85,1,2
91,90,92,54,88,2,2
94,91,93,99,90,1,1
97,95,94,31,88,2,2
99,92,93,44,97,2,2
95,96,96,70,90,1,2
99,91,97,67,93,2,2
95,98,93,40,98,1,2
94,92,97,51,45,2,2
92,93,99,47,60,2,2
98,97,96,92,98,2,1
90,95,97,82,52,2,2
100,91,99,75,57,1,2
95,96,95,99,99,2,1
94,98,94,63,68,2,2
98,95,99,74,73,1,2
93,97,99,51,91,2,2
98,94,96,86,96,2,1
90,98,99,44,78,1,2
96,94,96,61,97,2,2
100,95,94,63,71,1,2
96,90,99,84,40,2,2
95,92,91,44,88,1,2
93,96,91,86,96,2,1
99,93,98,61,71,2,2
90,94,85,65,73,2,2
92,96,99,88,55,2,2
90,98,90,43,70,1,2
99,95,93,40,57,2,2
99,93,98,41,44,1,2
96,90,98,48,84,2,2
91,98,99,65,77,2,2
87,95,95,40,49,2,3
95,93,88,65,56,1,2
97,91,92,43,43,2,3
93,96,91,67,75,2,2
92,94,91,97,76,2,1
97,90,99,54,84,1,2
96,88,93,53,58,2,2
98,92,94,79,99,2,1
90,97,95,42,46,2,3
86,99,91,75,62,2,2
92,98,98,60,78,1,2
99,99,93,90,57,2,2
94,96,97,90,69,1,2
98,90,87,73,78,2,2
92,96,91,86,84,2,2
97,90,97,56,99,2,2
95,93,99,59,71,2,2
99,98,93,50,97,2,2
96,86,99,89,97,1,1
95,95,98,53,74,2,2
98,92,93,77,73,2,2
93,99,87,65,71,1,2
95,93,94,87,49,2,2
97,96,99,85,54,2,2
85,96,96,37,52,1,3
95,99,90,71,45,1,2
89,94,91,73,89,1,2
92,98,95,80,56,2,2
96,98,92,43,72,1,2
86,96,91,43,54,1,3
100,98,91,96,78,1,1
98,93,90,88,80,1,2
94,96,96,71,91,2,2
96,95,92,64,64,2,2
94,90,86,58,44,1,3
91,93,92,56,49,1,2
99,99,91,47,87,1,2
93,89,90,44,42,1,3
89,96,97,62,52,2,2
94,99,97,49,58,1,2
97,88,93,42,44,1,3
87,98,92,82,83,2,2
92,91,98,86,60,2,2
93,99,97,68,81,2,2
99,91,86,65,90,2,2
91,94,95,88,99,1,1
90,95,99,74,63,2,2
94,88,94,70,81,1,2
95,92,95,72,93,1,2
93,95,97,87,64,2,2
98,92,95,45,41,1,3
90,97,86,90,97,1,1
96,93,98,58,72,2,2
97,96,90,66,43,2,2
88,92,85,77,41,2,2
96,90,96,47,59,2,2
90,96,91,59,91,2,2
90,88,92,89,43,2,2
96,95,93,94,78,2,1
94,97,92,69,82,2,2
87,100,94,55,78,2,2
92,98,96,90,73,2,2
90,91,97,89,64,1,2
96,96,93,84,97,2,1
93,95,94,72,60,2,2
93,94,90,65,61,2,2
91,97,91,99,59,2,2
93,97,96,91,48,2,2
95,95,96,49,50,1,2
98,85,95,53,59,1,2
99,94,92,47,82,1,2
96,98,93,59,97,2,2
99,93,98,75,55,1,2
85,91,95,40,68,1,2
94,92,86,63,44,2,2
91,90,90,64,52,2,2
98,91,94,43,72,1,2
93,94,96,60,96,2,2
92,95,94,52,43,1,2
94,95,92,46,88,1,2
99,91,90,74,81,2,2
90,97,95,53,49,1,2
99,93,87,84,96,1,1
94,97,98,86,95,2,1
93,91,90,44,65,1,2
90,87,99,46,68,1,2
96,99,92,64,64,1,2
89,90,97,34,68,2,2
88,95,90,75,88,2,2
85,90,87,75,50,1,2
96,90,96,98,45,2,2
95,94,93,88,96,2,1
89,90,95,43,76,1,2
89,98,99,53,76,2,2
94,99,92,49,41,2,2
90,91,99,93,42,2,2
96,88,94,80,94,2,1
89,98,90,41,96,1,2
99,99,97,99,61,1,1
98,91,95,79,57,2,2
91,90,99,81,80,1,2
93,96,99,74,45,2,2
92,95,89,67,87,1,2
91,96,96,48,51,1,2
92,98,93,48,100,2,2
98,94,92,83,96,2,1
96,91,94,77,88,1,2
97,86,97,90,87,2,1
88,92,93,74,60,1,2
93,90,97,51,67,2,2
94,98,98,94,85,2,1
90,96,91,91,59,1,2
95,93,86,86,80,2,2
94,91,98,93,60,2,2
92,96,91,59,74,2,2
99,92,90,89,75,1,2
99,91,90,64,62,2,2
85,91,96,54,92,1,2
93,99,96,43,60,2,2
92,97,89,60,87,1,2
95,92,93,96,71,2,2
98,92,96,77,69,1,2
94,86,97,76,97,1,1
96,95,99,56,46,2,2
91,96,90,82,42,1,2
93,90,95,87,50,2,2
92,98,91,29,75,2,2
96,85,93,44,79,2,2
94,99,90,51,53,1,2
92,90,93,55,96,2,2
92,99,94,61,66,2,2
98,99,86,73,61,2,2
97,94,96,94,55,1,2
93,87,99,90,72,2,2
93,90,98,52,59,2,2
94,95,92,93,71,2,2
92,98,91,87,42,1,2
94,92,96,57,65,2,2
93,99,86,75,91,2,2
94,92,97,49,63,1,2
90,94,95,71,62,2,2
99,96,94,82,58,2,2
91,85,99,96,48,2,2
98,90,92,63,56,1,2
91,90,90,99,56,2,2
90,99,99,44,52,1,2
93,98,96,42,41,1,3
95,90,96,66,82,1,2
99,92,92,70,76,2,2
98,89,93,69,87,1,2
92,92,90,98,58,1,2
90,91,90,74,55,2,2
97,90,96,51,51,2,2
97,95,87,46,89,1,2
90,95,98,78,53,2,2
94,90,97,50,67,1,2
90,93,85,63,52,2,2
97,95,92,41,61,1,2
98,85,99,78,61,2,2
91,98,98,41,99,2,2
97,91,94,48,94,1,2
94,93,98,79,70,1,2
93,94,93,43,49,2,3
88,92,89,94,40,1,2
96,97,96,69,75,1,2
97,98,94,73,75,1,2
96,99,97,70,50,2,2
98,91,93,74,43,1,2
96,98,92,71,95,1,1
91,94,98,65,73,1,2
93,89,90,73,62,1,2
94,93,97,100,66,1,1
99,99,90,91,93,2,1
93,95,89,40,43,1,3
93,93,92,59,78,1,2
93,90,97,71,72,2,2
94,94,99,51,89,2,2
90,97,92,55,76,1,2
97,94,91,48,93,2,2
94,93,92,46,28,1,3
90,90,99,73,57,2,2
99,98,93,87,71,2,2
96,95,98,41,73,2,2
96,86,90,43,58,1,3
95,94,98,74,64,1,2
85,93,94,86,52,1,2
90,98,92,66,64,1,2
98,90,94,69,54,2,2
90,98,97,46,59,2,2
98,90,99,42,87,1,2
98,94,87,88,81,2,2
95,97,94,64,66,2,2
92,91,97,91,90,1,1
93,90,93,96,88,2,1
94,98,98,59,57,1,2
90,96,97,51,66,2,2
97,98,92,61,40,2,2
93,97,90,95,68,2,2
95,94,85,63,53,2,2
98,92,93,46,50,2,2
97,99,98,99,76,2,1
98,89,95,83,44,1,2
96,99,91,73,46,1,2
96,98,97,69,48,1,2
92,98,99,93,78,2,1
93,94,94,62,76,2,2
99,97,92,89,94,1,1
90,90,88,72,67,2,2
100,91,92,71,75,2,2
96,95,98,85,63,1,2
99,91,90,46,60,1,2
92,98,99,50,58,1,2
94,92,91,74,64,2,2
91,88,95,83,73,2,2
99,96,95,89,74,1,1
95,90,98,99,81,2,1
91,94,93,89,81,1,2
99,99,90,74,50,2,2
97,91,93,52,56,2,2
92,94,95,42,67,2,2
95,99,92,56,71,2,2
97,86,92,50,71,1,2
93,95,98,62,78,1,2
96,93,87,93,52,1,2
95,92,99,98,72,1,1
95,93,92,53,54,2,2
90,98,92,69,41,1,2
96,94,87,71,46,2,2
99,99,90,50,81,2,2
91,98,98,81,84,2,1
93,93,90,86,57,1,2
93,90,95,82,91,2,1
88,97,91,61,53,2,2
97,94,99,98,65,2,1
93,94,91,45,50,1,3
92,86,98,71,62,1,2
93,91,95,74,44,1,2
94,95,92,49,72,2,2
98,99,95,93,76,1,1
96,95,93,98,90,1,1
98,90,85,54,91,2,2
95,90,99,68,84,1,2
92,98,94,63,74,1,2
98,98,97,43,98,1,2
97,98,99,39,64,2,2
90,92,97,65,80,2,2
95,97,98,60,82,2,2
93,85,94,68,74,1,2
85,97,93,40,60,1,2
97,97,92,48,72,1,2
93,99,99,73,70,2,2
94,92,85,86,73,1,2
97,96,98,76,97,2,1
96,95,91,85,87,1,1
96,85,95,73,43,2,2
98,95,98,99,87,1,1
95,97,98,43,87,2,2
99,90,97,70,75,2,2
99,91,92,62,87,1,2
91,91,88,62,62,2,2
97,90,96,72,79,2,2
96,97,91,55,64,2,2
93,90,91,95,61,1,2
91,97,97,65,75,1,2
94,97,93,40,51,1,2
90,85,92,53,56,1,2
90,91,95,48,97,1,2
95,93,92,77,81,2,2
93,93,96,92,66,2,2
99,91,95,88,57,1,2
98,95,87,52,86,1,2
98,90,96,91,76,1,1
93,94,99,47,69,2,2
93,98,98,54,86,1,2
96,98,95,98,83,1,1
90,91,94,92,83,1,1
85,99,91,96,40,2,2
97,98,88,97,71,1,1
92,91,91,48,47,2,3
98,94,93,84,88,2,1
97,90,94,49,89,1,2
98,99,99,90,63,1,2
99,85,90,44,57,1,2
96,91,90,41,63,2,2
91,95,97,54,72,2,2
95,96,91,59,68,1,2
91,98,93,84,43,2,2
94,93,94,52,67,1,2
94,96,96,94,84,2,1
93,98,96,79,92,2,1
97,95,97,27,85,2,2
96,89,94,71,60,2,2
93,93,95,51,96,1,2
94,96,88,56,71,2,2
96,95,93,55,55,2,2
94,91,94,95,74,1,2
98,97,95,57,88,1,2
92,98,93,64,60,2,2
98,94,94,50,91,2,2
90,93,99,71,78,2,2
99,93,86,99,68,2,2
89,92,94,85,51,1,2
91,88,94,76,46,1,2
99,94,92,52,58,2,2
92,98,96,60,80,1,2
93,97,95,50,89,2,2
96,98,97,40,55,2,2
97,93,89,80,76,1,2
93,98,94,61,85,2,2
99,91,96,88,86,2,1
95,99,95,60,99,1,2
99,85,95,66,54,2,2
92,90,93,61,55,2,2
93,96,95,50,56,2,2
91,90,90,79,86,2,2
94,99,96,52,94,1,2
99,92,88,89,41,2,2
91,94,91,85,94,2,1
94,92,96,69,60,2,2
92,96,91,47,91,1,2
93,94,92,66,82,1,2
92,97,95,85,96,2,1
98,98,96,45,98,2,2
97,97,90,59,90,2,2
90,98,94,85,64,2,2
88,89,92,48,62,2,2
91,93,97,41,87,1,2
95,91,93,93,52,2,2
98,97,90,71,78,1,2
93,95,90,80,45,2,2
91,97,90,95,76,1,2
97,90,89,66,72,2,2
95,96,90,95,45,2,2
90,97,98,45,52,2,2
91,95,90,78,75,2,2
96,99,96,69,70,2,2
99,96,94,97,51,1,2
92,94,95,35,83,1,2
99,98,90,56,54,2,2
90,96,96,42,57,1,2
95,95,98,90,65,1,2
97,85,93,92,99,1,1
95,93,92,58,44,2,2
96,99,95,72,95,2,1
96,93,94,50,83,2,2
91,97,85,66,92,2,2
94,96,90,84,92,2,1
93,92,96,75,80,1,2
99,93,95,74,46,2,2
97,92,94,86,72,1,2
98,85,94,57,62,2,2
93,97,99,48,64,2,2
91,97,98,44,73,1,2
90,96,90,60,52,1,2
92,97,93,96,88,1,1
86,96,89,48,81,1,2
94,98,92,97,65,2,2
93,90,98,56,60,1,2
99,97,99,40,48,2,2
93,93,94,86,74,1,2
93,98,94,96,88,2,1
94,99,98,47,85,2,2
94,97,96,48,42,1,2
97,86,92,76,58,2,2
90,96,97,83,64,2,2
96,91,93,83,56,1,2
94,99,92,60,93,2,2
93,94,86,43,52,2,3
90,97,90,80,56,1,2
96,91,97,86,79,2,2
90,93,93,98,91,2,1
99,92,98,89,52,2,2
93,90,90,57,99,1,2
92,90,95,70,29,1,2
96,86,96,92,43,1,2
95,94,90,92,84,1,1
94,97,94,91,80,2,1
94,91,95,51,54,1,2
90,97,93,41,76,1,2
98,97,99,75,71,2,2
99,97,90,88,76,1,1
90,96,91,68,48,2,2
92,94,98,99,53,1,2
93,98,89,94,73,1,2
95,97,95,71,90,1,2
91,96,98,70,86,2,2
91,98,90,56,84,1,2
88,90,93,68,51,2,2
86,92,97,60,86,2,2
87,93,92,92,91,2,1
87,94,96,80,90,2,2
97,97,98,71,40,1,2
98,96,88,41,73,2,2
91,93,90,82,92,2,2
93,94,94,91,44,2,2
89,89,91,89,95,2,1
95,94,91,82,70,1,2
97,90,85,55,44,1,3
93,97,96,47,62,1,2
98,92,91,49,41,1,3
94,90,97,62,59,1,2
95,90,95,42,83,2,2
96,98,91,28,54,2,3
91,90,99,64,68,2,2
92,85,99,73,41,2,2
94,91,98,97,45,2,2
91,96,92,68,60,2,2
94,98,94,84,58,1,2
91,90,87,66,59,1,2
97,98,92,42,60,2,2
91,93,97,69,40,1,2
88,95,91,42,79,2,2
94,90,94,64,53,2,2
97,94,98,98,45,1,2
98,86,97,63,70,1,2
97,99,96,80,92,2,1
98,99,98,93,87,2,1
94,97,90,80,84,1,2
97,95,92,93,57,1,2
99,99,92,85,71,2,2
97,98,90,88,49,2,2
96,98,98,64,46,1,2
91,96,87,95,40,1,2
93,98,92,85,84,2,1
96,93,95,58,60,1,2
97,94,96,50,95,2,2
94,99,94,89,47,2,2
91,94,92,78,89,1,2
90,99,88,42,97,1,2
91,90,94,40,95,1,2
92,90,98,89,48,2,2
97,90,91,76,88,1,2
95,98,93,97,45,1,2
91,94,94,63,41,1,2
96,95,95,40,75,1,2
94,98,91,78,98,2,1
93,97,96,63,97,2,2
99,99,97,75,80,2,1
93,96,93,76,84,1,2
92,89,90,90,48,2,2
99,93,94,45,60,2,2
97,92,96,58,52,2,2
99,99,96,57,75,2,2
94,92,93,95,69,2,2
90,93,97,73,75,2,2
98,98,90,40,57,2,2
94,93,93,46,47,2,3
98,95,97,80,64,1,2
96,95,92,55,94,1,2
91,93,98,79,86,1,2
91,95,88,56,91,2,2
91,99,96,52,95,2,2
98,98,98,42,58,1,2
96,93,93,57,46,2,2
95,92,99,28,56,1,3
91,99,99,91,47,1,2
93,92,94,67,87,1,2
94,88,94,52,91,1,2
93,98,92,61,46,2,2
98,91,98,48,85,2,2
99,98,97,51,72,2,2
95,94,92,69,56,1,2
91,93,92,82,55,1,2
96,96,95,88,57,2,2
90,98,99,99,81,2,1
96,92,92,50,86,1,2
95,94,89,43,66,2,2
93,99,98,57,89,2,2
88,91,99,64,59,1,2
