School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,Data_Structure,Visual_Programming,School_type,Color
92,98,95,92,97,81,70,2,2
90,92,98,53,97,49,87,2,2
97,90,95,80,62,71,42,1,2
95,91,97,99,35,90,75,2,2
99,96,94,71,95,49,40,1,2
93,91,93,40,68,75,55,2,3
99,85,97,100,99,70,81,1,1
98,93,91,86,91,92,91,2,1
98,97,90,65,91,48,62,1,2
91,99,95,95,43,72,96,1,2
91,97,97,81,64,100,46,2,2
99,99,97,35,69,73,82,1,2
96,94,93,33,45,64,93,2,3
95,94,99,97,55,79,88,1,2
92,91,92,51,70,79,63,1,2
99,92,88,52,63,79,99,1,2
94,98,92,63,75,96,62,2,2
87,99,90,97,64,53,88,1,2
97,96,92,87,55,72,100,2,2
90,96,90,97,38,92,62,1,2
98,93,96,66,45,61,82,1,2
97,93,92,56,54,47,92,2,2
97,93,96,51,77,40,92,1,2
98,95,99,84,42,63,91,1,2
97,96,97,45,75,42,40,2,3
95,91,92,68,58,43,32,2,3
97,90,99,66,45,93,84,1,2
94,93,93,98,49,73,32,1,2
93,93,96,76,57,73,92,1,2
98,85,96,47,81,47,87,2,2
96,93,91,51,54,82,43,2,3
93,91,92,67,52,55,54,1,3
91,94,96,100,73,53,79,1,2
96,94,95,67,91,42,51,2,2
99,99,95,65,57,79,71,2,2
91,99,90,50,59,93,59,2,2
97,93,94,54,49,68,88,1,2
97,91,92,83,52,81,64,1,2
95,91,92,91,46,57,43,2,3
97,92,93,54,77,66,82,2,2
99,98,97,60,50,65,77,1,2
97,92,85,77,76,43,100,1,2
90,97,95,59,61,72,81,1,2
95,98,90,59,98,68,56,1,2
91,99,99,41,85,92,55,2,2
98,91,95,24,45,41,72,1,3
91,96,99,45,69,54,70,2,3
89,99,93,42,86,47,69,2,2
90,91,86,46,33,71,55,2,3
91,92,96,25,95,64,87,2,2
98,94,97,68,57,51,94,1,2
96,93,95,88,43,53,43,2,3
94,97,98,50,94,68,97,2,2
96,96,92,89,96,93,45,2,2
91,91,92,37,51,77,51,1,3
98,90,91,97,58,70,49,2,2
95,93,96,54,88,45,46,1,3
95,89,94,78,98,62,74,1,2
98,92,92,84,65,49,97,1,2
99,94,98,92,73,86,79,1,2
98,96,97,59,94,84,90,1,2
90,91,92,99,44,45,66,2,2
87,90,94,99,52,49,71,1,2
97,90,91,65,60,93,73,2,2
99,92,92,85,63,72,25,1,2
92,94,99,83,45,97,43,1,2
91,93,94,69,48,54,58,2,3
96,91,86,64,67,52,36,1,3
96,99,93,71,57,76,59,1,2
91,96,94,65,41,93,92,2,2
93,94,90,67,76,70,65,1,2
94,96,93,32,49,88,56,2,3
90,98,91,40,59,47,76,2,3
95,95,92,56,75,53,68,2,2
97,92,93,39,51,94,71,2,2
99,90,96,96,64,62,51,1,2
96,92,91,33,88,43,91,2,2
91,98,98,87,69,67,91,2,2
99,91,99,48,74,36,52,2,3
93,89,98,87,53,75,41,2,2
99,92,90,48,84,41,95,2,2
99,90,94,88,57,91,74,2,2
97,93,96,82,59,69,65,2,2
97,91,92,92,54,50,51,1,2
90,95,97,96,84,97,53,1,2
93,90,94,61,50,97,50,2,2
95,91,99,77,53,60,66,2,2
86,98,90,81,83,60,54,2,2
94,92,98,64,49,41,98,2,2
91,91,92,50,43,94,57,2,3
95,98,98,99,89,69,75,1,2
95,91,95,44,40,97,76,2,2
96,98,92,51,76,40,89,2,2
98,92,91,77,45,40,94,2,2
92,96,89,75,42,71,61,1,2
94,90,91,99,98,87,93,1,1
90,95,95,31,71,61,77,2,3
93,98,90,81,66,61,39,1,2
92,95,94,72,49,51,95,2,2
99,97,97,65,72,76,41,2,2
92,90,92,97,44,51,44,2,3
91,97,99,83,92,57,92,2,2
93,91,92,99,60,69,80,1,2
97,90,99,86,77,89,97,2,1
99,97,99,97,43,49,95,2,2
93,96,96,93,99,40,64,2,2
93,95,97,55,89,68,89,2,2
98,87,90,65,87,97,97,2,2
92,92,92,52,98,52,44,1,3
90,93,97,74,94,73,79,1,2
93,93,98,93,79,72,60,1,2
93,99,99,74,55,96,55,1,2
91,90,95,85,68,72,76,1,2
98,96,96,69,92,49,78,1,2
98,95,86,87,57,59,96,1,2
91,97,90,71,87,74,88,1,2
90,90,97,43,31,95,70,1,3
92,94,96,39,90,61,54,2,2
90,96,94,91,90,96,81,2,1
92,98,95,29,78,76,41,1,3
98,93,91,64,77,69,84,1,2
93,88,95,49,73,64,92,1,2
99,98,92,44,45,56,46,1,3
94,97,93,88,51,75,64,1,2
85,90,96,55,99,47,74,1,2
95,95,95,64,67,81,90,1,2
98,99,86,91,66,62,97,1,2
94,92,90,46,83,76,47,2,2
98,94,91,93,60,57,67,1,2
96,94,93,58,65,67,83,2,2
98,97,92,88,50,82,70,1,2
99,99,95,66,36,51,95,2,2
98,91,90,90,97,57,46,2,2
95,94,98,71,51,84,93,2,2
98,93,97,53,76,57,33,1,3
94,96,92,76,82,58,92,2,2
92,88,91,61,81,81,66,1,2
96,99,98,97,78,49,49,1,2
88,96,90,76,48,94,82,2,2
98,90,90,28,98,77,46,2,2
93,96,85,96,92,61,87,2,2
98,95,95,47,42,68,67,2,3
98,99,90,80,84,47,94,2,2
93,97,97,44,87,55,64,1,2
90,93,99,59,80,24,58,1,3
94,96,92,53,73,96,65,2,2
98,97,97,54,84,81,61,1,2
97,99,95,62,52,44,75,2,3
97,93,97,62,96,57,54,1,2
91,96,91,65,91,62,92,1,2
96,95,96,91,53,96,87,1,2
98,97,99,79,97,43,42,1,2
90,94,90,61,78,67,95,2,2
91,86,91,70,100,45,55,1,2
92,90,98,67,88,58,52,1,2
93,96,94,49,88,52,76,2,2
92,93,99,98,50,66,66,1,2
91,99,90,34,42,76,44,1,3
94,92,95,43,93,65,81,2,2
91,91,99,95,44,91,70,1,2
93,90,96,69,83,47,94,2,2
89,91,88,74,50,92,55,1,2
96,93,92,97,96,61,43,1,2
97,91,96,96,94,50,54,2,2
90,93,91,93,40,52,98,2,2
94,90,93,74,80,63,43,2,2
96,90,97,35,52,70,29,1,3
95,86,93,86,55,74,76,2,2
97,95,96,69,62,96,94,1,2
96,92,90,59,61,83,59,2,2
95,97,94,50,58,71,81,1,2
90,95,89,45,59,53,71,1,3
95,95,95,60,96,85,61,1,2
97,94,96,92,87,86,89,2,1
98,97,98,74,99,59,74,1,2
98,99,91,48,98,62,72,2,2
96,95,97,82,66,41,83,2,2
93,97,94,53,63,58,58,1,3
91,90,92,64,40,67,53,2,3
93,99,98,66,48,88,63,1,2
98,94,96,47,93,65,95,2,2
92,94,91,59,98,91,75,1,2
96,92,97,50,54,87,58,2,2
91,91,90,85,71,91,55,1,2
96,93,90,57,90,78,68,1,2
91,96,96,93,97,85,92,2,1
96,86,90,55,77,38,48,1,3
100,92,99,47,69,54,88,2,2
95,97,94,92,54,62,98,2,2
98,95,89,52,32,68,44,2,3
90,94,94,62,86,82,92,2,2
94,90,94,61,55,78,92,1,2
92,93,91,89,73,90,73,2,2
90,93,91,32,41,75,59,2,3
99,90,91,59,61,92,92,1,2
96,99,99,93,30,41,58,2,3
93,91,91,68,58,82,48,1,2
94,93,96,80,60,97,68,1,2
92,90,92,44,85,53,66,1,3
93,95,92,70,77,44,89,2,2
93,85,94,48,89,92,63,2,2
91,99,99,56,91,65,71,1,2
96,93,95,40,57,96,71,1,2
99,99,90,42,44,42,43,1,3
92,96,97,88,27,70,85,1,2
94,90,93,97,63,72,26,2,2
88,93,93,55,62,83,41,2,3
90,95,87,33,69,75,55,2,3
99,93,90,43,99,71,40,2,2
94,97,90,49,84,59,86,2,2
95,90,99,100,99,73,65,2,2
95,99,92,52,93,44,68,2,2
99,90,95,95,63,68,84,1,2
97,92,96,47,95,93,67,1,2
92,98,94,57,24,42,72,1,3
95,98,93,53,72,64,88,2,2
95,91,92,86,81,53,42,1,2
96,86,90,84,72,57,61,2,2
92,94,92,68,52,59,60,1,3
99,92,91,46,54,44,90,1,3
95,96,91,33,95,64,36,2,3
93,90,93,44,85,85,42,1,2
92,93,89,72,25,38,98,1,3
96,98,95,55,54,80,70,2,2
93,96,90,44,54,43,64,2,3
96,91,96,67,66,42,76,1,2
92,91,90,43,78,64,69,2,2
94,91,94,48,70,56,63,1,3
98,94,96,65,87,66,90,1,2
98,93,95,39,91,66,54,2,2
99,96,94,46,78,68,84,2,2
93,90,99,60,58,86,84,2,2
90,87,92,25,24,64,69,2,3
92,96,96,58,50,61,52,2,3
86,94,96,70,79,80,41,2,2
94,94,98,66,89,93,83,2,2
92,90,91,90,50,92,94,1,2
94,95,86,92,100,82,79,2,2
95,90,95,87,52,78,94,1,2
90,95,99,78,81,54,60,1,2
99,91,91,97,93,98,74,2,1
96,93,96,42,48,66,61,1,3
93,89,97,65,60,40,50,1,3
95,97,90,42,88,53,77,1,2
98,98,90,54,96,82,89,2,2
97,91,90,49,74,40,85,2,2
91,92,99,79,48,69,56,2,2
94,97,97,33,46,96,81,1,2
90,90,85,55,94,80,89,2,2
91,98,91,89,54,41,66,1,2
99,98,98,72,71,43,81,2,2
97,88,98,51,62,72,27,2,3
97,96,94,62,50,53,38,2,3
94,91,95,65,65,84,80,2,2
98,96,90,77,97,64,66,1,2
95,91,89,74,49,85,96,2,2
90,93,92,66,70,28,45,1,3
89,96,92,94,96,74,75,2,2
92,91,94,74,74,46,97,1,2
90,95,92,34,77,59,75,1,3
93,90,97,90,62,53,64,2,2
93,86,97,65,37,66,88,1,2
96,97,92,90,43,95,56,2,2
99,94,93,100,54,42,63,2,2
95,99,91,61,95,74,54,2,2
93,94,95,51,42,96,66,2,2
95,99,90,73,46,96,40,1,2
93,94,85,64,54,63,48,2,3
88,91,95,68,74,47,90,2,2
94,99,93,64,56,81,80,2,2
96,95,91,87,98,69,47,1,2
94,97,96,41,95,91,84,2,2
98,92,91,68,47,63,44,1,3
90,97,91,94,81,96,76,1,2
94,92,94,97,97,59,66,1,2
86,94,95,75,68,63,68,2,2
92,91,90,97,30,43,76,1,3
91,85,98,96,35,47,86,2,2
96,94,92,64,88,51,88,2,2
96,91,93,95,77,68,52,2,2
92,97,95,67,54,73,98,1,2
96,97,95,61,74,74,85,1,2
95,90,86,54,78,65,94,2,2
90,91,92,86,40,42,76,1,3
90,98,93,64,54,70,68,1,2
90,97,96,58,72,40,98,1,2
91,93,96,80,57,32,41,2,3
91,90,99,74,99,67,79,2,2
99,97,97,88,83,65,66,1,2
99,96,95,47,85,74,91,1,2
97,91,90,90,53,78,85,1,2
92,91,93,50,95,79,47,1,2
85,89,99,73,52,48,88,2,2
97,97,93,95,54,60,92,1,2
93,98,97,43,63,98,30,2,3
90,90,86,90,57,71,73,2,2
90,97,97,50,86,51,88,1,2
96,93,98,80,90,46,63,2,2
94,99,90,82,41,86,56,1,2
97,90,92,67,43,72,89,1,2
94,92,99,54,74,75,40,1,2
93,97,97,26,95,96,79,1,2
98,95,94,50,78,45,91,2,2
94,95,91,82,80,89,55,1,2
91,99,97,48,95,73,42,1,2
97,94,92,64,54,73,60,1,2
98,98,98,94,51,51,85,1,2
94,87,96,92,85,51,82,1,2
93,93,99,68,99,44,43,1,2
98,92,99,55,63,96,76,2,2
98,95,90,63,64,40,96,1,2
92,98,88,98,65,57,66,1,2
99,97,90,58,49,47,58,1,3
93,99,96,50,40,81,67,2,2
92,93,93,41,45,63,61,1,3
96,93,96,84,68,85,92,1,2
88,90,90,71,52,67,94,1,2
95,98,93,89,53,77,58,1,2
94,91,94,54,56,45,58,1,3
98,96,95,43,71,53,84,2,2
97,100,93,88,90,75,72,1,2
90,98,96,77,97,46,98,1,2
94,90,99,70,59,44,52,2,3
96,98,90,51,78,98,89,1,2
99,95,90,49,60,64,73,1,2
97,99,94,50,66,96,44,2,2
90,94,99,70,82,91,77,1,2
91,93,95,95,59,43,77,1,2
97,98,98,84,77,42,95,1,2
96,96,97,60,59,75,59,2,2
92,92,93,92,45,65,64,2,2
95,94,95,67,41,75,55,1,3
95,97,96,66,93,85,65,2,2
98,99,96,50,84,81,49,2,2
97,98,92,59,56,52,95,2,2
94,98,96,98,87,92,56,1,2
91,97,99,98,98,46,88,1,2
95,95,98,46,52,41,99,1,2
94,97,95,53,92,91,64,2,2
89,98,100,81,63,79,83,1,2
96,91,91,83,85,40,99,1,2
91,90,92,54,88,41,69,2,2
94,91,93,99,90,63,77,1,2
97,95,94,31,88,54,73,2,2
99,92,93,44,97,75,94,2,2
95,96,96,70,90,67,41,1,2
99,91,97,67,93,79,51,2,2
95,98,93,40,98,53,93,1,2
94,92,97,51,45,48,59,2,3
92,93,99,47,60,48,85,2,3
98,97,96,92,98,97,41,2,2
90,95,97,82,52,51,41,2,3
100,91,99,75,57,95,56,1,2
95,96,95,99,99,49,45,2,2
94,98,94,63,68,66,46,2,2
98,95,99,74,73,61,98,1,2
93,97,99,51,91,92,40,2,2
98,94,96,86,96,60,56,2,2
90,98,99,44,78,97,56,1,2
96,94,96,61,97,85,89,2,2
100,95,94,63,71,99,63,1,2
96,90,99,84,40,66,72,2,2
95,92,91,44,88,93,60,1,2
93,96,91,86,96,59,72,2,2
99,93,98,61,71,98,70,2,2
90,94,85,65,73,52,68,2,2
92,96,99,88,55,46,84,2,2
90,98,90,43,70,94,68,1,2
99,95,93,40,57,40,46,2,3
99,93,98,41,44,89,66,1,2
96,90,98,48,84,55,52,2,3
91,98,99,65,77,42,84,2,2
87,95,95,40,49,41,52,2,3
95,93,88,65,56,98,82,1,2
97,91,92,43,43,77,69,2,3
93,96,91,67,75,90,78,2,2
92,94,91,97,76,92,90,2,1
97,90,99,54,84,91,58,1,2
96,88,93,53,58,80,43,2,3
98,92,94,79,99,50,44,2,2
90,97,95,42,46,67,95,2,2
86,99,91,75,62,57,53,2,3
92,98,98,60,78,46,53,1,2
99,99,93,90,57,87,95,2,2
94,96,97,90,69,90,54,1,2
98,90,87,73,78,41,69,2,2
92,96,91,86,84,54,97,2,2
97,90,97,56,99,74,58,2,2
95,93,99,59,71,83,86,2,2
99,98,93,50,97,46,59,2,2
96,86,99,89,97,45,57,1,2
95,95,98,53,74,94,45,2,2
98,92,93,77,73,64,74,2,2
93,99,87,65,71,48,92,1,2
95,93,94,87,49,48,77,2,2
97,96,99,85,54,81,89,2,2
85,96,96,37,52,70,41,1,3
95,99,90,71,45,86,51,1,2
89,94,91,73,89,44,86,1,2
92,98,95,80,56,72,69,2,2
96,98,92,43,72,96,91,1,2
86,96,91,43,54,98,72,1,2
100,98,91,96,78,69,90,1,2
98,93,90,88,80,83,63,1,2
94,96,96,71,91,60,64,2,2
96,95,92,64,64,94,87,2,2
94,90,86,58,44,61,69,1,3
91,93,92,56,49,60,51,1,3
99,99,91,47,87,98,60,1,2
93,89,90,44,42,60,63,1,3
89,96,97,62,52,80,93,2,2
94,99,97,49,58,100,70,1,2
97,88,93,42,44,58,84,1,3
87,98,92,82,83,71,61,2,2
92,91,98,86,60,53,74,2,2
93,99,97,68,81,77,43,2,2
99,91,86,65,90,99,94,2,2
91,94,95,88,99,69,96,1,1
90,95,99,74,63,49,82,2,2
94,88,94,70,81,57,41,1,2
95,92,95,72,93,49,92,1,2
93,95,97,87,64,67,89,2,2
98,92,95,45,41,48,63,1,3
90,97,86,90,97,65,55,1,2
96,93,98,58,72,74,48,2,2
97,96,90,66,43,60,96,2,2
88,92,85,77,41,94,82,2,2
96,90,96,47,59,72,56,2,3
90,96,91,59,91,47,69,2,2
90,88,92,89,43,67,43,2,3
96,95,93,94,78,71,91,2,2
94,97,92,69,82,41,69,2,2
87,100,94,55,78,75,83,2,2
92,98,96,90,73,86,63,2,2
90,91,97,89,64,60,66,1,2
96,96,93,84,97,50,41,2,2
93,95,94,72,60,77,51,2,2
93,94,90,65,61,62,83,2,2
91,97,91,99,59,73,33,2,2
93,97,96,91,48,47,98,2,2
95,95,96,49,50,92,92,1,2
98,85,95,53,59,40,73,1,3
99,94,92,47,82,42,84,1,2
96,98,93,59,97,59,61,2,2
99,93,98,75,55,74,70,1,2
85,91,95,40,68,98,94,1,2
94,92,86,63,44,50,96,2,2
91,90,90,64,52,64,94,2,2
98,91,94,43,72,60,56,1,3
93,94,96,60,96,46,87,2,2
92,95,94,52,43,70,46,1,3
94,95,92,46,88,41,75,1,2
99,91,90,74,81,41,79,2,2
90,97,95,53,49,53,81,1,3
99,93,87,84,96,99,87,1,1
94,97,98,86,95,45,41,2,2
93,91,90,44,65,49,55,1,3
90,87,99,46,68,72,42,1,3
96,99,92,64,64,97,88,1,2
89,90,97,34,68,62,76,2,3
88,95,90,75,88,58,83,2,2
85,90,87,75,50,56,99,1,2
96,90,96,98,45,56,73,2,2
95,94,93,88,96,58,63,2,2
89,90,95,43,76,77,79,1,2
89,98,99,53,76,84,62,2,2
94,99,92,49,41,80,51,2,3
90,91,99,93,42,80,71,2,2
96,88,94,80,94,82,59,2,2
89,98,90,41,96,83,72,1,2
99,99,97,99,61,85,58,1,2
98,91,95,79,57,86,57,2,2
91,90,99,81,80,42,46,1,2
93,96,99,74,45,92,92,2,2
92,95,89,67,87,59,48,1,2
91,96,96,48,51,61,98,1,2
92,98,93,48,100,95,51,2,2
98,94,92,83,96,91,61,2,2
96,91,94,77,88,59,71,1,2
97,86,97,90,87,91,69,2,2
88,92,93,74,60,72,97,1,2
93,90,97,51,67,40,97,2,2
94,98,98,94,85,61,66,2,2
90,96,91,91,59,38,58,1,3
95,93,86,86,80,74,65,2,2
94,91,98,93,60,99,66,2,2
92,96,91,59,74,49,70,2,2
99,92,90,89,75,58,76,1,2
99,91,90,64,62,80,58,2,2
85,91,96,54,92,88,83,1,2
93,99,96,43,60,66,42,2,3
92,97,89,60,87,86,53,1,2
95,92,93,96,71,61,60,2,2
98,92,96,77,69,50,59,1,2
94,86,97,76,97,63,45,1,2
96,95,99,56,46,83,83,2,2
91,96,90,82,42,57,77,1,2
93,90,95,87,50,42,87,2,2
92,98,91,29,75,43,47,2,3
96,85,93,44,79,70,70,2,2
94,99,90,51,53,40,51,1,3
92,90,93,55,96,67,75,2,2
92,99,94,61,66,96,49,2,2
98,99,86,73,61,46,60,2,3
97,94,96,94,55,60,46,1,2
93,87,99,90,72,47,69,2,2
93,90,98,52,59,47,92,2,2
94,95,92,93,71,69,52,2,2
92,98,91,87,42,93,94,1,2
94,92,96,57,65,94,70,2,2
93,99,86,75,91,40,84,2,2
94,92,97,49,63,53,52,1,3
90,94,95,71,62,89,40,2,2
99,96,94,82,58,68,73,2,2
91,85,99,96,48,86,84,2,2
98,90,92,63,56,92,45,1,2
91,90,90,99,56,96,46,2,2
90,99,99,44,52,57,88,1,2
93,98,96,42,41,96,73,1,2
95,90,96,66,82,74,41,1,2
99,92,92,70,76,48,63,2,2
98,89,93,69,87,88,61,1,2
92,92,90,98,58,52,60,1,2
90,91,90,74,55,77,54,2,2
97,90,96,51,51,79,93,2,2
97,95,87,46,89,47,69,1,2
90,95,98,78,53,88,71,2,2
94,90,97,50,67,99,45,1,2
90,93,85,63,52,87,83,2,2
97,95,92,41,61,90,79,1,2
98,85,99,78,61,59,80,2,2
91,98,98,41,99,51,93,2,2
97,91,94,48,94,41,77,1,2
94,93,98,79,70,78,52,1,2
93,94,93,43,49,95,58,2,2
88,92,89,94,40,84,32,1,3
96,97,96,69,75,46,79,1,2
97,98,94,73,75,95,85,1,2
96,99,97,70,50,71,57,2,2
98,91,93,74,43,87,73,1,2
96,98,92,71,95,82,92,1,2
91,94,98,65,73,41,94,1,2
93,89,90,73,62,64,47,1,3
94,93,97,100,66,96,74,1,2
99,99,90,91,93,90,46,2,2
93,95,89,40,43,64,89,1,3
93,93,92,59,78,97,60,1,2
93,90,97,71,72,88,49,2,2
94,94,99,51,89,63,81,2,2
90,97,92,55,76,66,99,1,2
97,94,91,48,93,53,55,2,2
94,93,92,46,28,85,76,1,3
90,90,99,73,57,84,82,2,2
99,98,93,87,71,60,72,2,2
96,95,98,41,73,58,64,2,2
96,86,90,43,58,47,71,1,3
95,94,98,74,64,56,94,1,2
85,93,94,86,52,65,97,1,2
90,98,92,66,64,47,79,1,2
98,90,94,69,54,70,97,2,2
90,98,97,46,59,79,92,2,2
98,90,99,42,87,73,53,1,2
98,94,87,88,81,57,54,2,2
95,97,94,64,66,54,72,2,2
92,91,97,91,90,83,78,1,2
93,90,93,96,88,85,43,2,2
94,98,98,59,57,47,56,1,3
90,96,97,51,66,78,96,2,2
97,98,92,61,40,56,89,2,2
93,97,90,95,68,62,53,2,2
95,94,85,63,53,82,55,2,2
98,92,93,46,50,55,61,2,3
97,99,98,99,76,84,28,2,2
98,89,95,83,44,60,75,1,2
96,99,91,73,46,58,50,1,3
96,98,97,69,48,60,51,1,3
92,98,99,93,78,42,59,2,2
93,94,94,62,76,92,77,2,2
99,97,92,89,94,83,55,1,2
90,90,88,72,67,60,90,2,2
100,91,92,71,75,63,98,2,2
96,95,98,85,63,46,79,1,2
99,91,90,46,60,79,58,1,3
92,98,99,50,58,97,91,1,2
94,92,91,74,64,90,52,2,2
91,88,95,83,73,89,84,2,2
99,96,95,89,74,59,96,1,2
95,90,98,99,81,46,58,2,2
91,94,93,89,81,63,99,1,2
99,99,90,74,50,79,58,2,2
97,91,93,52,56,73,90,2,2
92,94,95,42,67,28,86,2,3
95,99,92,56,71,88,82,2,2
97,86,92,50,71,76,86,1,2
93,95,98,62,78,58,89,1,2
96,93,87,93,52,50,93,1,2
95,92,99,98,72,89,40,1,2
95,93,92,53,54,54,55,2,3
90,98,92,69,41,50,79,1,3
96,94,87,71,46,79,53,2,2
99,99,90,50,81,60,98,2,2
91,98,98,81,84,88,63,2,2
93,93,90,86,57,67,92,1,2
93,90,95,82,91,60,82,2,2
88,97,91,61,53,47,96,2,2
97,94,99,98,65,62,60,2,2
93,94,91,45,50,64,57,1,3
92,86,98,71,62,77,71,1,2
93,91,95,74,44,68,47,1,3
94,95,92,49,72,41,60,2,3
98,99,95,93,76,55,98,1,2
96,95,93,98,90,46,67,1,2
98,90,85,54,91,46,78,2,2
95,90,99,68,84,83,95,1,2
92,98,94,63,74,78,84,1,2
98,98,97,43,98,85,68,1,2
97,98,99,39,64,83,87,2,2
90,92,97,65,80,99,54,2,2
95,97,98,60,82,94,45,2,2
